id,neighbourhood_group_cleansed,room_type,instant_bookable,accommodates,bathrooms,bedrooms,beds,host_total_listings_count,distance_to_center,price,ln_price
16313547,Manhattan,Entire home/apt,False,2,1.0,0.0,1.0,261.0,4.4165301587905805,120.0,4.795790545596741
16220003,Manhattan,Entire home/apt,False,3,1.0,1.0,2.0,2.0,9.387032375705145,110.0,4.709530201312334
16229170,Manhattan,Entire home/apt,False,4,1.0,1.0,2.0,5.0,4.890551241459563,166.0,5.117993812416755
16331234,Brooklyn,Entire home/apt,False,2,1.0,1.0,1.0,2.0,6.313068336920262,175.0,5.170483995038151
16332208,Brooklyn,Private room,False,1,1.0,1.0,1.0,2.0,7.78129399160174,190.0,5.25227342804663
16248277,Queens,Entire home/apt,False,5,2.0,4.0,7.0,1.0,10.134148629710255,300.0,5.707110264748875
16396241,Brooklyn,Entire home/apt,False,2,1.0,2.0,2.0,5.0,5.909251850295874,206.0,5.332718793265369
16396729,Brooklyn,Private room,False,2,1.0,1.0,1.0,14.0,9.634345612493181,57.0,4.060443010546419
16402746,Queens,Entire home/apt,False,4,1.0,2.0,3.0,2.0,22.75331804886223,137.0,4.927253685157205
16352982,Manhattan,Private room,False,1,2.0,2.0,1.0,6.0,7.695220306804247,50.0,3.9318256327243257
16409634,Brooklyn,Entire home/apt,False,10,2.0,4.0,4.0,4.0,9.428923250510374,259.0,5.560681631015528
16413797,Brooklyn,Private room,False,2,1.0,1.0,1.0,3.0,9.411000482291344,40.0,3.713572066704308
16365878,Brooklyn,Entire home/apt,False,2,1.0,1.0,3.0,1.0,8.622620228060663,124.0,4.8283137373023015
16380794,Brooklyn,Entire home/apt,False,5,1.0,1.0,2.0,1.0,13.883198905275757,181.0,5.204006687076795
16428383,Bronx,Entire home/apt,False,4,1.0,1.0,3.0,4.0,16.76158670789139,137.0,4.927253685157205
16581779,Brooklyn,Entire home/apt,False,5,1.0,2.0,4.0,2.0,9.51745650734811,240.0,5.484796933490655
16584445,Manhattan,Private room,False,1,1.0,1.0,0.0,12.0,3.3619238354892835,121.0,4.804021044733257
16584878,Brooklyn,Entire home/apt,False,6,2.0,2.0,4.0,1.0,7.933397717505655,250.0,5.5254529391317835
16601518,Manhattan,Private room,False,2,1.0,1.0,1.0,4.0,7.922361133427099,85.0,4.454347296253507
16449771,Queens,Private room,False,2,1.0,1.0,1.0,5.0,24.722601588073555,77.0,4.356708826689592
16613747,Brooklyn,Private room,False,1,1.0,1.0,1.0,2.0,7.919250052487791,90.0,4.51085950651685
16620235,Brooklyn,Entire home/apt,False,2,1.0,1.0,2.0,4.0,8.904649953116348,196.0,5.2832037287379885
16621121,Brooklyn,Private room,False,1,1.0,1.0,1.0,3.0,7.3487877982868595,68.0,4.23410650459726
16454273,Brooklyn,Private room,False,2,1.5,1.0,1.0,2.0,10.045521793334057,250.0,5.5254529391317835
16634459,Manhattan,Private room,False,2,1.0,1.0,1.0,1.0,7.589720634439784,79.0,4.382026634673881
16649739,Brooklyn,Entire home/apt,False,4,1.0,2.0,2.0,1.0,16.248102319667648,150.0,5.017279836814924
16467731,Manhattan,Entire home/apt,False,2,1.5,2.0,2.0,8.0,3.5896920202105473,300.0,5.707110264748875
16659292,Brooklyn,Entire home/apt,False,2,1.0,1.0,1.0,9.0,7.975079431606292,82.0,4.418840607796598
16677170,Manhattan,Entire home/apt,False,3,1.0,1.0,2.0,5.0,2.07876257950751,292.0,5.680172609017068
16480273,Brooklyn,Private room,False,2,1.0,1.0,1.0,1.0,8.686655877830077,125.0,4.836281906951478
16488787,Brooklyn,Private room,False,2,1.0,1.0,1.0,1.0,12.907180774887012,192.0,5.262690188904886
16683957,Brooklyn,Entire home/apt,False,2,1.0,0.0,2.0,1.0,6.453104509673479,138.0,4.9344739331306915
16506016,Manhattan,Shared room,False,6,1.0,1.0,2.0,2.0,6.111531885288382,291.0,5.676753802268282
16533105,Manhattan,Private room,False,1,1.0,1.0,1.0,2.0,5.393264129449377,89.0,4.499809670330265
