,accommodates,price,host_total_listings_count,review_scores_rating,latitude,longitude,availability_365,distance_to_center,instant_bookable,room_type
234,6.0,320.0,3.0,4.9,40.71345,-73.94289,334,5.321057642065359,f,Entire home/apt
235,3.0,122.0,4.0,4.75,40.79999,-73.96338,312,10.346304120824225,f,Entire home/apt
236,2.0,513.0,1.0,4.99,40.7203,-73.98424,310,2.019129609755237,f,Private room
237,2.0,121.0,1.0,4.67,40.61933,-74.03208,175,10.615525875713448,f,Entire home/apt
238,1.0,53.0,1.0,4.8,40.80592,-73.95172,25,11.326668926488196,f,Private room
239,2.0,106.0,3.0,4.78,40.61943,-73.99232,29,10.43838352975638,f,Entire home/apt
240,1.0,91.0,2.0,4.75,40.81553,-73.95438,38,12.230289597000825,f,Private room
242,2.0,141.0,1.0,4.81,40.7401,-74.00019,85,3.0829462785959896,f,Entire home/apt
243,2.0,150.0,1.0,4.81,40.67319,-73.96804,364,5.438691526788008,f,Entire home/apt
244,2.0,182.0,1.0,4.8,40.71085,-73.96672,328,3.318603560231594,f,Entire home/apt
245,3.0,80.0,1.0,4.61,40.61019,-74.06757,305,12.528254332118863,t,Entire home/apt
248,3.0,275.0,2.0,4.86,40.7573,-73.91488,280,9.139275043045158,f,Entire home/apt
249,3.0,248.0,2.0,4.82,40.80493,-73.94999,313,11.286200687903474,f,Private room
251,4.0,69.0,2.0,4.49,40.68096,-73.94062,274,6.547726464940081,f,Entire home/apt
252,2.0,162.0,4.0,4.54,40.68511,-73.91927,365,7.93145747949059,f,Private room
253,2.0,161.0,1.0,4.9,40.68563832502508,-73.92470229417086,364,7.48746623200856,f,Private room
255,2.0,145.0,4.0,4.91,40.79147,-73.94629,53,10.098147318419633,f,Entire home/apt
257,2.0,108.0,3.0,4.87,40.68518847176618,-73.94268839549034,62,6.154500739937566,f,Private room
259,2.0,83.0,5.0,4.74,40.70132,-73.90883,365,8.289549114452907,f,Private room
260,6.0,288.0,1.0,4.92,40.66386,-73.98519,215,5.710537922105979,f,Entire home/apt
262,2.0,122.0,3.0,4.29,40.67188,-73.95097,240,6.493727077057271,f,Entire home/apt
263,6.0,310.0,1.0,4.64,40.79864,-73.96209,335,10.244408331169991,f,Entire home/apt
265,4.0,428.0,40.0,4.75,40.73756,-73.9535,60,5.216152995762668,f,Entire home/apt
266,4.0,428.0,40.0,5.0,40.73756,-73.9535,41,5.216152995762668,f,Private room
267,4.0,513.0,40.0,4.89,40.73756,-73.9535,60,5.216152995762668,t,Private room
268,3.0,110.0,3.0,4.88,40.74168,-74.00339,364,3.2268959098491283,f,Private room
269,2.0,143.0,1.0,4.71,40.75408,-73.97071,97,5.476487527083508,f,Entire home/apt
270,2.0,180.0,1.0,4.71,40.72113,-73.98442,224,2.045805666835333,f,Entire home/apt
272,1.0,250.0,3.0,4.86,40.77539,-73.91709,335,10.230890433785623,f,Entire home/apt
273,2.0,44.0,5.0,4.68,40.8666,-73.90061,1,19.274019749532883,f,Private room
274,2.0,177.0,3.0,4.64,40.68927,-73.95439,352,5.0738099231529175,f,Private room
276,4.0,428.0,40.0,4.75,40.73756,-73.9535,60,5.216152995762668,f,Entire home/apt
277,4.0,319.0,40.0,4.86,40.73756,-73.9535,0,5.216152995762668,f,Private room
278,2.0,381.0,40.0,4.77,40.73756,-73.9535,60,5.216152995762668,f,Hotel room
279,6.0,590.0,40.0,5.0,40.73756,-73.9535,0,5.216152995762668,f,Private room
280,1.0,93.0,2.0,4.94,40.71134819720268,-73.95338679325236,152,4.43846213906413,f,Private room
281,2.0,229.0,1.0,4.64,40.69101,-73.95018,280,5.290183657472348,f,Entire home/apt
282,4.0,495.0,3.0,4.96,40.72032,-73.99462,305,1.2786634941317563,f,Entire home/apt
287,2.0,95.0,2.0,4.63,40.69913,-73.93107,364,6.495800392852297,f,Private room
289,2.0,185.0,1.0,4.79,40.71065,-73.94102,334,5.483049905372832,f,Entire home/apt
290,1.0,99.0,4.0,4.71,40.68532,-73.91881,365,7.958243560909552,f,Private room
292,2.0,122.0,2.0,5.0,40.81146,-73.94469,358,12.13275281710167,f,Private room
293,6.0,360.0,2.0,4.86,40.81128,-73.9433,365,12.16501970552004,f,Entire home/apt
294,1.0,115.0,1.0,4.94,40.78615,-73.97394,362,8.599638241141415,f,Private room
296,2.0,181.0,3.0,4.79,40.66161712766098,-73.99192061645073,315,5.806203877531681,f,Private room
297,4.0,428.0,40.0,4.81,40.73756,-73.9535,60,5.216152995762668,f,Entire home/apt
299,4.0,590.0,5.0,4.73,40.71704,-74.00908,365,0.5446152364034607,f,Entire home/apt
304,4.0,125.0,1.0,4.86,40.82176,-73.94522,83,13.160537058018825,f,Entire home/apt
305,2.0,247.0,3.0,4.99,40.79632,-73.97643,167,9.623255532695799,f,Entire home/apt
308,4.0,126.0,2.0,4.62,40.719482,-73.98877,258,1.6359893192821813,f,Entire home/apt
309,4.0,428.0,40.0,4.77,40.73756,-73.9535,60,5.216152995762668,f,Entire home/apt
310,4.0,428.0,40.0,4.85,40.73756,-73.9535,60,5.216152995762668,f,Entire home/apt
311,4.0,428.0,40.0,4.78,40.73756,-73.9535,60,5.216152995762668,f,Entire home/apt
312,4.0,428.0,40.0,4.88,40.73756,-73.9535,60,5.216152995762668,f,Entire home/apt
313,4.0,428.0,40.0,4.81,40.73756,-73.9535,60,5.216152995762668,f,Entire home/apt
314,5.0,285.0,1.0,4.82,40.71923,-73.9582,365,4.094226338363634,f,Entire home/apt
315,2.0,225.0,3.0,4.8,40.77534,-73.95106,363,8.360938043496668,f,Entire home/apt
317,4.0,237.0,7.0,4.86,40.66763,-73.95836,50,6.425807552973051,f,Entire home/apt
318,2.0,159.0,4.0,4.67,40.72617,-73.95264,363,4.740075347026977,f,Entire home/apt
319,4.0,235.0,6.0,4.23,40.71941,-73.98968,365,1.5644303463042426,f,Entire home/apt
322,1.0,69.0,4.0,4.97,40.64295,-73.97293,238,8.245356698595538,f,Private room
323,2.0,175.0,11.0,5.0,40.72136,-73.95674,296,4.262345973412754,f,Entire home/apt
325,1.0,65.0,2.0,4.84,40.66385,-73.93229,179,8.25712101445696,f,Private room
326,2.0,95.0,29.0,4.71,40.76716,-73.91177,365,9.98396940387847,f,Private room
327,1.0,75.0,7.0,4.75,40.76269,-73.99361,314,5.6529708254775946,f,Private room
329,2.0,135.0,5.0,4.8,40.81319,-73.94194,179,12.40604241319144,f,Private room
330,2.0,132.0,5.0,4.89,40.75622,-73.99455,121,4.931618250441998,t,Private room
331,1.0,212.0,5.0,4.79,40.75557,-73.99411,88,4.868266847830934,t,Entire home/apt
333,2.0,167.0,6.0,4.22,40.67534,-73.98345,332,4.571974303050537,f,Entire home/apt
334,2.0,290.0,1.0,4.96,40.74828,-73.9917,364,4.133122954447623,f,Entire home/apt
335,2.0,84.0,5.0,4.44,40.66,-73.95203,305,7.4226605834012815,f,Private room
337,2.0,124.0,2.0,4.79,40.74496,-73.91167,365,8.720461817790827,f,Private room
338,4.0,259.0,1.0,4.8,40.72499,-73.99198,332,1.805032227311007,f,Entire home/apt
339,6.0,71.0,21.0,4.5,40.65623,-73.9612,136,7.331227084265382,f,Entire home/apt
341,2.0,81.0,1.0,4.14,40.8677,-73.92122,243,18.652197135824345,f,Entire home/apt
342,1.0,96.0,1.0,5.0,40.77549,-73.95128,289,8.364597544514197,f,Entire home/apt
343,5.0,141.0,3.0,4.71,40.68413,-73.93538,180,6.750633533906152,f,Entire home/apt
344,4.0,352.0,4.0,5.0,40.70937,-73.9657,365,3.4184901795559113,f,Entire home/apt
345,2.0,630.0,3.0,4.87,40.67782,-73.97205,365,4.823529605196825,f,Private room
347,2.0,120.0,1.0,4.4,40.71481,-73.99059,268,1.3205358271604595,f,Private room
348,6.0,575.0,14.0,5.0,40.68461,-73.98984,336,3.411010340496071,f,Entire home/apt
351,2.0,325.0,3.0,4.96,40.71942398164986,-73.96005436966747,29,3.944500778011757,f,Private room
353,2.0,204.0,2.0,4.74,40.88095,-73.91701,365,20.150110422906977,f,Entire home/apt
354,1.0,120.0,4.0,4.66,40.77,-73.95842,118,7.525585161917479,f,Private room
355,16.0,1568.0,3.0,4.88,40.68607,-73.95536,245,5.198295005595596,t,Entire home/apt
357,2.0,117.0,4.0,4.93,40.8078,-73.95232,360,11.498233678844652,f,Private room
360,1.0,200.0,1.0,4.93,40.76198,-73.99361,50,5.575403704749481,f,Entire home/apt
361,4.0,293.0,1.0,4.98,40.67933,-73.995,331,3.828046833574488,f,Entire home/apt
365,2.0,75.0,2.0,4.86,40.83521,-73.93836,83,14.762905373126754,f,Private room
366,2.0,75.0,2.0,4.77,40.71215,-73.81692,365,15.938005618486564,t,Private room
367,1.0,52.0,5.0,4.62,40.70717,-73.95269,152,4.536971435679791,f,Private room
369,2.0,130.0,1.0,4.73,40.82903,-73.94204,365,14.00947802205114,f,Entire home/apt
