id,price,accommodates,room_type,bedrooms,beds,bathrooms,neighbourhood_group_cleansed,minimum_nights,instant_bookable,review_scores_rating,host_is_superhost,host_total_listings_count,availability_365,latitude,longitude,city
60611,125.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.84,True,4.0,159,40.792667388916016,-73.946533203125,NYC
169483,162.0,1,Private room,1.0,1.0,1.0,Brooklyn,30,False,,False,2.0,361,40.60602,-73.97076,NYC
170761,105.0,2,Private room,1.0,1.0,1.5,Brooklyn,2,True,4.93,True,3.0,295,40.68877615321917,-73.97762359693657,NYC
98663,150.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.81,False,1.0,275,40.75077,-73.99657,NYC
100002,62.0,2,Private room,1.0,2.0,1.0,Manhattan,30,False,4.69,False,1.0,173,40.85433,-73.9324,NYC
100186,150.0,3,Entire home/apt,1.0,2.0,1.0,Brooklyn,30,False,4.94,True,1.0,74,40.66952,-73.99201,NYC
174966,2500.0,9,Entire home/apt,2.0,4.0,2.5,Manhattan,30,False,4.96,False,17.0,364,40.7751,-73.98595,NYC
176135,101.0,1,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.68,False,1.0,53,40.67545,-73.96096,NYC
177606,150.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.79,False,1.0,274,40.74045,-73.9749,NYC
179670,175.0,1,Private room,1.0,1.0,1.0,Manhattan,30,False,4.89,False,1.0,83,40.72113,-73.98213,NYC
182069,133.0,3,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.76,True,1.0,334,40.78959,-73.94705,NYC
103311,590.0,6,Private room,2.0,3.0,1.0,Brooklyn,1,False,4.17,False,40.0,0,40.73778,-73.95366,NYC
103555,260.0,3,Entire home/apt,2.0,2.0,2.5,Brooklyn,30,False,4.72,False,2.0,274,40.693047,-73.971985,NYC
